epoch,pauc,auc,f1,acc,loss,split,time,fold
1,0.13813183732827966,0.9124946436183914,0.6405531896951554,0.8937181505088126,0.25795741551644047,train,636.1519980430603,0
1,0.14947259960175338,0.9252089238737105,0.02882062950322336,0.9680729049791806,0.08000834654038762,val,72.77370977401733,0
2,0.1702998486431314,0.9599736732088215,0.7671833442124646,0.9255185525721142,0.18236076332104179,train,638.3268876075745,0
2,0.13006281936988098,0.9019033800720162,0.043478260869565216,0.9857381504475528,0.03774554880106762,val,72.51608848571777,0
3,0.18687966073956958,0.9830899938023139,0.8522109021164272,0.9514874783774097,0.1212754502162421,train,632.280993938446,0
3,0.14547370096242648,0.9254502314137688,0.046218487394957986,0.9830204203754955,0.042668352826560674,val,72.5144112110138,0
1,0.13914467717268064,0.9131803509428892,0.6348068413886998,0.8929894934345654,0.25700947389433165,train,631.8383114337921,1
1,0.1324772352463469,0.904812003995871,0.022488389146907848,0.9501446167655713,0.1112332269416695,val,70.36578702926636,1
2,0.16706148884362965,0.953889235900802,0.7368254439333234,0.9170850904013439,0.19561561174017653,train,624.7401485443115,1
2,0.1457069664721847,0.9267209795387598,0.028169014084507043,0.9595696404528001,0.09624966487156032,val,71.29029202461243,1
3,0.18220112826390822,0.9760294235001218,0.816448198112126,0.9401209922486419,0.14423263518698734,train,625.7730011940002,1
3,0.13585103925284117,0.9168754515673427,0.03243704652155356,0.9717373959008627,0.064367903063084,val,71.00209832191467,1
1,0.1445643986368575,0.9199696923067749,0.6478613877960995,0.8951029771106568,0.2498687092043741,train,625.2204205989838,2
1,0.13808466760679383,0.9216258376907813,0.029985855728429985,0.957250252459139,0.0932036327493026,val,70.82293272018433,2
2,0.17395921312456814,0.9640542798391476,0.7718921451861687,0.9271742382685882,0.17417734074024496,train,625.452220916748,2
2,0.13817264853801897,0.9122087581585155,0.03693340794627868,0.9785440899627234,0.048927892500701405,val,70.51177859306335,2
3,0.1873333348247363,0.9834114754261409,0.8519378289819353,0.9516936368623149,0.12007850519955862,train,624.9558713436127,2
3,0.1396297157155158,0.915917762788434,0.05025996533795494,0.9863360386979342,0.033698811334278315,val,70.93724274635315,2
1,0.13938604793075599,0.9136214501081734,0.637396233625613,0.8935383733107266,0.25623724172311674,train,623.8446879386902,3
1,0.14812666134205238,0.9322440753266525,0.02676612549363756,0.9446958646569672,0.11608966617835419,val,69.56581687927246,3
2,0.16935978858328843,0.9581579649932712,0.7545787545787546,0.9221095347329576,0.1868521303660651,train,625.3939528465271,3
2,0.15547135315920177,0.9319411338932498,0.03256003256003256,0.970365660570246,0.06822246836387187,val,71.89307355880737,3
3,0.18552851943841808,0.9812073315448473,0.8389008207409681,0.9476325238118984,0.12780587523758008,train,622.6525540351868,3
3,0.15590080617988042,0.9355400843618575,0.036011080332409975,0.9739686576654075,0.06019855555381757,val,70.60077667236328,3
1,0.1425526759237684,0.9179244743443801,0.6484071075596678,0.8957761930883159,0.2514412048722583,train,622.1240379810333,4
1,0.14070655611968175,0.9095430129461053,0.024865312888520515,0.9706648714016781,0.06800560590197446,val,70.44355845451355,4
2,0.16956320336574404,0.9578141724688036,0.7531413715681254,0.9218695457038847,0.1873802053814882,train,624.3887906074524,4
2,0.13959443066926872,0.9082378110493867,0.01887620719929763,0.9442719826457717,0.12362074018588837,val,70.08722925186157,4
3,0.18422170437575985,0.9787741787849703,0.8314195846596938,0.9445407170996858,0.136086469282546,train,624.533472776413,4
3,0.11055348047972807,0.8672908213172523,0.022713321055862493,0.9603046963633417,0.09389685276220996,val,70.12997651100159,4
