epoch,pauc,auc,f1,acc,loss,split,time,fold
1,0.14223714915598662,0.9177939594801698,0.6099103848181339,0.9077421767859369,0.22741149392323837,train,37.093827962875366,0
1,0.15147358849269318,0.933098821514909,0.04741379310344827,0.9834692198369362,0.048581304542568045,val,41.40433382987976,0
2,0.17065951796217524,0.9600336461416649,0.7252747252747253,0.9314299962598179,0.16549391683017456,train,36.94923186302185,0
2,0.15091595577638225,0.9329110748492557,0.036066981537140406,0.972012366918493,0.06677799368785696,val,41.71161127090454,0
1,0.14095815878267987,0.9165449897046885,0.6076352067868505,0.9077421767859369,0.2265941259759812,train,37.4641227722168,1
1,0.14410161057152343,0.9268267318907497,0.05485232067510549,0.9832444023338154,0.05477888671311128,val,41.46091413497925,1
2,0.16909616697175792,0.9577552940052323,0.7215112736136502,0.9287807006607655,0.1718435497459344,train,37.52442717552185,1
2,0.14871714877580047,0.9205700643729446,0.041033434650455926,0.9842666932628534,0.04799895598115323,val,41.8008029460907,1
1,0.14646281413277892,0.9236738727014194,0.6218661152752649,0.9088018950255579,0.22224587335132212,train,37.37144899368286,2
1,0.14586427225418375,0.9278261534237686,0.028926815157651144,0.9581478849534353,0.09778019854051234,val,41.62691116333008,2
2,0.17208396314121815,0.9616037399566437,0.7321103146640748,0.9312741553422267,0.16397146879243682,train,37.55087184906006,2
2,0.13800199049057166,0.9212266476145312,0.033962264150943396,0.9680841779805762,0.08143118814296926,val,41.53621029853821,2
1,0.13996097085640088,0.9156869120668222,0.6109660574412533,0.9071188131155716,0.2296955967338504,train,37.28093242645264,3
1,0.1538153149218155,0.9302707441564438,0.04929577464788732,0.9831693907319445,0.05280252950933972,val,41.707645654678345,3
2,0.16828519967062522,0.9572434309963423,0.7238442822384428,0.9292482234135394,0.17234282347918975,train,37.55641579627991,3
2,0.13412677365813475,0.9177431331195169,0.03160726294552791,0.9640947002281482,0.08518370160948169,val,41.480074644088745,3
1,0.14590750335396357,0.9245166533271135,0.6282269689424715,0.9115758633586835,0.2192457066140338,train,37.426589488983154,4
1,0.13815250095434284,0.9152153135156391,0.03546548448385054,0.9810125793220381,0.051553712966786125,val,41.490081787109375,4
2,0.17649141252562212,0.9676308047896415,0.7559055118110236,0.9352636828325646,0.1533286446536287,train,37.43953204154968,4
2,0.1402062660570391,0.9113995418514156,0.02573852003509798,0.95847203002082,0.09104324738679238,val,41.66731405258179,4
