epoch,pauc,auc,f1,acc,loss,split,time,fold
1,0.17864885111445455,0.972698005021379,0.7743494518352708,0.9447022705667846,0.13536605954503428,train,458.950315952301,0
1,0.15613343318398407,0.9315637879222739,0.05547850208044383,0.9915102101877478,0.022544637917195458,val,41.753199100494385,0
2,0.19680861692536777,0.9962872379481064,0.9271351926144328,0.9812058782278047,0.0504492268993022,train,478.93302392959595,0
2,0.1399809968286452,0.8954391254327613,0.05859375,0.9939910738773781,0.019506070704553964,val,41.82442116737366,0
1,0.1788776063504568,0.972705730410387,0.7715833312041698,0.9442725037167248,0.1355849389946818,train,475.1804757118225,1
1,0.14436283967943433,0.9195584575323512,0.04472396925227114,0.9829576621951828,0.0414922201073513,val,41.94399309158325,1
2,0.1967890730010362,0.9962197906906048,0.9250820692432544,0.9808662695926719,0.05088983515958158,train,483.7053828239441,1
2,0.12926828331775042,0.8991928903701684,0.060109289617486336,0.9957113648830599,0.01537452413874605,val,42.412317752838135,1
1,0.1775808535166895,0.9708483770338887,0.762413406091567,0.942598987682641,0.1393543326548467,train,464.56533002853394,2
1,0.13335304064594222,0.9068671924723266,0.04527081649151172,0.9852763336699455,0.03662739683662927,val,41.581568002700806,2
2,0.1964420759668363,0.9958246828900638,0.9227746309750506,0.9801557123622401,0.05352805539757878,train,503.0793390274048,2
2,0.12245058092373734,0.8941161972270406,0.06190476190476191,0.9901759110346461,0.03032755628703368,val,44.59449243545532,2
1,0.17781931376635018,0.9714375633750861,0.7689653850576915,0.9436462125367775,0.13829177261783307,train,505.29558062553406,3
1,0.15239904032147356,0.9334586489623242,0.061371841155234655,0.9870341973046091,0.03314711081029184,val,43.51138663291931,3
2,0.1968238306404716,0.9962817457816263,0.9242666731824124,0.9806793247893083,0.05075196660699439,train,493.34801840782166,3
2,0.15374152949545117,0.9300486079045562,0.06636500754147813,0.9922828539726471,0.022313330397874375,val,42.61034154891968,3
1,0.18111200481540674,0.9758332492496767,0.7898177421183228,0.9479909489851892,0.12821434073496754,train,503.13249349594116,4
1,0.11605814308071803,0.8752721037173135,0.05555555555555555,0.9898268317313087,0.02754211905132246,val,43.988354444503784,4
2,0.19687796484039724,0.9962751804941802,0.9258228460793805,0.9808943798932828,0.050791904869281826,train,481.6796727180481,4
2,0.13853990177227793,0.9082154123897226,0.05106382978723404,0.988879330765107,0.032137845700478306,val,42.223490953445435,4
